,Область,Год,Население
0,Республика Казахстан ,2000,14901641.0
16,г. Алматы,2000,1130439.0
15,г. Астана,2000,380990.0
14,Восточно-Казахстанская,2000,1516785.0
13,Туркестанская 1,2000,2005023.0
11,Павлодарская,2000,790774.0
10,Мангистауская,2000,315203.0
9,Кызылординская,2000,598526.0
12,Северо-Казахстанская,2000,713628.0
7,Карагандинская,2000,1390454.0
6,Жамбылская,2000,986144.0
5,Западно-Казахстанская,2000,609161.0
4,Атырауская,2000,441692.0
3,Алматинская,2000,1557141.0
2,Актюбинская,2000,677715.0
1,Акмолинская,2000,799179.0
8,Костанайская,2000,988787.0
26,Кызылординская,2001,599738.0
33,г. Алматы,2001,1128759.0
32,г. Астана,2001,440209.0
31,Восточно-Казахстанская,2001,1499097.0
30,Туркестанская 1,2001,2051351.0
28,Павлодарская,2001,772453.0
27,Мангистауская,2001,319191.0
25,Костанайская,2001,959274.0
29,Северо-Казахстанская,2001,702623.0
23,Жамбылская,2001,981928.0
22,Западно-Казахстанская,2001,601648.0
21,Атырауская,2001,443630.0
20,Алматинская,2001,1554320.0
19,Актюбинская,2001,670231.0
18,Акмолинская,2001,776377.0
17,Республика Казахстан ,2001,14865610.0
24,Карагандинская,2001,1364781.0
50,г. Алматы,2002,1132424.0
49,г. Астана,2002,493062.0
48,Восточно-Казахстанская,2002,1482550.0
47,Туркестанская 1,2002,2079506.0
46,Северо-Казахстанская,2002,691263.0
45,Павлодарская,2002,758154.0
44,Мангистауская,2002,328265.0
43,Кызылординская,2002,600972.0
42,Костанайская,2002,935717.0
40,Жамбылская,2002,979199.0
39,Западно-Казахстанская,2002,600330.0
38,Атырауская,2002,447634.0
37,Алматинская,2002,1554573.0
36,Актюбинская,2002,668166.0
35,Акмолинская,2002,755000.0
34,Республика Казахстан ,2002,14851059.0
41,Карагандинская,2002,1344244.0
61,Мангистауская,2003,338612.0
67,г. Алматы,2003,1149641.0
66,г. Астана,2003,501998.0
65,Восточно-Казахстанская,2003,1465931.0
64,Туркестанская 1,2003,2111893.0
63,Северо-Казахстанская,2003,682148.0
62,Павлодарская,2003,748651.0
60,Кызылординская,2003,603804.0
54,Алматинская,2003,1560267.0
58,Карагандинская,2003,1333656.0
57,Жамбылская,2003,980072.0
56,Западно-Казахстанская,2003,602133.0
55,Атырауская,2003,451928.0
59,Костанайская,2003,919558.0
53,Актюбинская,2003,668378.0
52,Акмолинская,2003,748167.0
51,Республика Казахстан ,2003,14866837.0
83,г. Астана,2004,510533.0
82,Восточно-Казахстанская,2004,1455412.0
81,Туркестанская 1,2004,2150256.0
80,Северо-Казахстанская,2004,674497.0
79,Павлодарская,2004,745238.0
78,Мангистауская,2004,349668.0
77,Кызылординская,2004,607491.0
76,Костанайская,2004,913435.0
84,г. Алматы,2004,1175208.0
74,Жамбылская,2004,985552.0
73,Западно-Казахстанская,2004,603832.0
72,Атырауская,2004,457215.0
71,Алматинская,2004,1571194.0
70,Актюбинская,2004,671812.0
69,Акмолинская,2004,748930.0
68,Республика Казахстан ,2004,14951200.0
75,Карагандинская,2004,1330927.0
101,г. Алматы,2005,1209485.0
100,г. Астана,2005,529335.0
99,Восточно-Казахстанская,2005,1442097.0
98,Туркестанская 1,2005,2193556.0
97,Северо-Казахстанская,2005,665936.0
96,Павлодарская,2005,743826.0
95,Мангистауская,2005,361754.0
94,Кызылординская,2005,612048.0
93,Костанайская,2005,907396.0
91,Жамбылская,2005,992089.0
90,Западно-Казахстанская,2005,606534.0
89,Атырауская,2005,463466.0
88,Алматинская,2005,1589751.0
87,Актюбинская,2005,678607.0
86,Акмолинская,2005,747185.0
85,Республика Казахстан ,2005,15074767.0
92,Карагандинская,2005,1331702.0
112,Мангистауская,2006,374430.0
118,г. Алматы,2006,1247896.0
117,г. Астана,2006,550438.0
116,Восточно-Казахстанская,2006,1431180.0
115,Туркестанская 1,2006,2233568.0
114,Северо-Казахстанская,2006,663126.0
113,Павлодарская,2006,742911.0
111,Кызылординская,2006,618249.0
105,Алматинская,2006,1603758.0
109,Карагандинская,2006,1334438.0
102,Республика Казахстан ,2006,15219291.0
103,Акмолинская,2006,746652.0
104,Актюбинская,2006,686698.0
110,Костанайская,2006,903178.0
106,Атырауская,2006,472384.0
107,Западно-Казахстанская,2006,609291.0
108,Жамбылская,2006,1001094.0
134,г. Астана,2007,574448.0
133,Восточно-Казахстанская,2007,1424513.0
132,Туркестанская 1,2007,2282474.0
131,Северо-Казахстанская,2007,660950.0
130,Павлодарская,2007,744860.0
129,Мангистауская,2007,390531.0
128,Кызылординская,2007,625070.0
127,Костанайская,2007,900333.0
135,г. Алматы,2007,1287246.0
125,Жамбылская,2007,1009210.0
124,Западно-Казахстанская,2007,612479.0
123,Атырауская,2007,480687.0
122,Алматинская,2007,1620696.0
121,Актюбинская,2007,695454.0
120,Акмолинская,2007,748559.0
119,Республика Казахстан ,2007,15396878.0
126,Карагандинская,2007,1339368.0
152,г. Алматы,2008,1324739.0
151,г. Астана,2008,602684.0
150,Восточно-Казахстанская,2008,1417384.0
149,Туркестанская 1,2008,2331505.0
148,Северо-Казахстанская,2008,653921.0
147,Павлодарская,2008,746454.0
146,Мангистауская,2008,407403.0
145,Кызылординская,2008,632234.0
144,Костанайская,2008,894192.0
142,Жамбылская,2008,1018845.0
141,Западно-Казахстанская,2008,615310.0
140,Атырауская,2008,490369.0
139,Алматинская,2008,1643278.0
137,Акмолинская,2008,747447.0
136,Республика Казахстан ,2008,15571506.0
143,Карагандинская,2008,1342081.0
138,Актюбинская,2008,703660.0
169,г. Алматы,2009,1361877.0
162,Кызылординская,2009,677734.0
168,г. Астана,2009,605254.0
167,Восточно-Казахстанская,2009,1396871.0
166,Туркестанская 1,2009,2462782.0
165,Северо-Казахстанская,2009,597534.0
164,Павлодарская,2009,742276.0
163,Мангистауская,2009,482631.0
161,Костанайская,2009,886329.0
159,Жамбылская,2009,1020796.0
158,Западно-Казахстанская,2009,598342.0
157,Атырауская,2009,509123.0
156,Алматинская,2009,1804005.0
155,Актюбинская,2009,756782.0
154,Акмолинская,2009,738827.0
153,Республика Казахстан ,2009,15982370.0
160,Карагандинская,2009,1341207.0
185,г. Астана,2010,649152.0
184,Восточно-Казахстанская,2010,1398073.0
183,Туркестанская 1,2010,2511580.0
182,Северо-Казахстанская,2010,592791.0
181,Павлодарская,2010,744395.0
180,Мангистауская,2010,503241.0
179,Кызылординская,2010,689011.0
178,Костанайская,2010,883379.0
186,г. Алматы,2010,1390610.0
176,Жамбылская,2010,1034487.0
175,Западно-Казахстанская,2010,603858.0
174,Атырауская,2010,520988.0
173,Алматинская,2010,1836162.0
172,Актюбинская,2010,763591.0
171,Акмолинская,2010,735134.0
170,Республика Казахстан ,2010,16203274.0
177,Карагандинская,2010,1346822.0
203,г. Алматы,2011,1413152.0
202,г. Астана,2011,697162.0
201,Восточно-Казахстанская,2011,1398078.0
200,Туркестанская 1,2011,2567611.0
199,Северо-Казахстанская,2011,589421.0
198,Павлодарская,2011,746224.0
197,Мангистауская,2011,524185.0
196,Кызылординская,2011,700511.0
195,Костанайская,2011,881656.0
193,Жамбылская,2011,1046260.0
192,Западно-Казахстанская,2011,608334.0
191,Атырауская,2011,532033.0
190,Алматинская,2011,1872844.0
189,Актюбинская,2011,777501.0
188,Акмолинская,2011,733281.0
187,Республика Казахстан ,2011,16440470.0
194,Карагандинская,2011,1352217.0
214,Мангистауская,2012,545789.0
220,г. Алматы,2012,1449366.0
219,г. Астана,2012,742868.0
218,Восточно-Казахстанская,2012,1395060.0
217,Туркестанская 1,2012,2621472.0
216,Северо-Казахстанская,2012,583772.0
215,Павлодарская,2012,747167.0
213,Кызылординская,2012,712899.0
204,Республика Казахстан ,2012,16673933.0
211,Карагандинская,2012,1357969.0
210,Жамбылская,2012,1055822.0
209,Западно-Казахстанская,2012,612581.0
208,Атырауская,2012,542959.0
207,Алматинская,2012,1908785.0
206,Актюбинская,2012,786390.0
205,Акмолинская,2012,731399.0
212,Костанайская,2012,879635.0
236,г. Астана,2013,778145.0
235,Восточно-Казахстанская,2013,1394068.0
234,Туркестанская 1,2013,2678739.0
233,Северо-Казахстанская,2013,579700.0
232,Павлодарская,2013,749201.0
231,Мангистауская,2013,567770.0
230,Кызылординская,2013,726692.0
229,Костанайская,2013,880116.0
237,г. Алматы,2013,1474849.0
227,Жамбылская,2013,1069785.0
226,Западно-Казахстанская,2013,617735.0
225,Атырауская,2013,555199.0
224,Алматинская,2013,1946831.0
223,Актюбинская,2013,795871.0
222,Акмолинская,2013,732768.0
221,Республика Казахстан ,2013,16910246.0
228,Карагандинская,2013,1362777.0
254,г. Алматы,2014,1506899.0
253,г. Астана,2014,814419.0
252,Восточно-Казахстанская,2014,1394388.0
251,Туркестанская 1,2014,2733053.0
250,Северо-Казахстанская,2014,575945.0
249,Павлодарская,2014,752914.0
248,Мангистауская,2014,587431.0
247,Кызылординская,2014,739726.0
246,Костанайская,2014,880968.0
244,Жамбылская,2014,1084369.0
243,Западно-Казахстанская,2014,624085.0
242,Атырауская,2014,567831.0
241,Алматинская,2014,1984572.0
240,Актюбинская,2014,808985.0
239,Акмолинская,2014,735612.0
238,Республика Казахстан ,2014,17160855.0
245,Карагандинская,2014,1369658.0
265,Мангистауская,2015,606843.0
271,г. Алматы,2015,1641444.0
270,г. Астана,2015,852803.0
269,Восточно-Казахстанская,2015,1395466.0
268,Туркестанская 1,2015,2787906.0
267,Северо-Казахстанская,2015,571830.0
266,Павлодарская,2015,755793.0
263,Костанайская,2015,881569.0
264,Кызылординская,2015,753001.0
261,Жамбылская,2015,1098489.0
260,Западно-Казахстанская,2015,630056.0
259,Атырауская,2015,581389.0
258,Алматинская,2015,1921888.0
257,Актюбинская,2015,822557.0
256,Акмолинская,2015,736560.0
255,Республика Казахстан ,2015,17415715.0
262,Карагандинская,2015,1378121.0
286,Восточно-Казахстанская,2016,1396019.0
288,г. Алматы,2016,1702766.0
287,г. Астана,2016,872584.0
285,Туркестанская 1,2016,2840871.0
284,Северо-Казахстанская,2016,569594.0
283,Павлодарская,2016,758594.0
282,Мангистауская,2016,626774.0
281,Кызылординская,2016,765058.0
280,Костанайская,2016,883806.0
279,Карагандинская,2016,1384810.0
273,Акмолинская,2016,744420.0
274,Актюбинская,2016,834808.0
275,Алматинская,2016,1947552.0
272,Республика Казахстан ,2016,17669896.0
277,Западно-Казахстанская,2016,636980.0
278,Жамбылская,2016,1110749.0
276,Атырауская,2016,594511.0
306,г. Шымкент,2017,912300.0
299,Мангистауская,2017,642824.0
305,г. Алматы,2017,1751308.0
304,г. Астана,2017,972692.0
303,Восточно-Казахстанская,2017,1389568.0
302,Туркестанская 1,2017,1966336.0
301,Северо-Казахстанская,2017,563300.0
300,Павлодарская,2017,757014.0
298,Кызылординская,2017,773143.0
289,Республика Казахстан ,2017,17918214.0
296,Карагандинская,2017,1382734.0
295,Жамбылская,2017,1115307.0
294,Западно-Казахстанская,2017,641513.0
293,Атырауская,2017,607528.0
292,Алматинская,2017,1983465.0
291,Актюбинская,2017,845679.0
290,Акмолинская,2017,734369.0
297,Костанайская,2017,879134.0
319,Северо-Казахстанская,2018,558584.0
318,Павлодарская,2018,754854.0
324,г. Шымкент,2018,952169.0
317,Мангистауская,2018,660317.0
321,Восточно-Казахстанская,2018,1383745.0
322,г. Астана,2018,1030577.0
323,г. Алматы,2018,1801993.0
320,Туркестанская 1,2018,1977028.0
316,Кызылординская,2018,783157.0
311,Атырауская,2018,620684.0
314,Карагандинская,2018,1380537.0
313,Жамбылская,2018,1117218.0
312,Западно-Казахстанская,2018,646927.0
310,Алматинская,2018,2017278.0
309,Актюбинская,2018,857711.0
308,Акмолинская,2018,738942.0
307,Республика Казахстан ,2018,18157337.0
315,Костанайская,2018,875616.0
342,г. Шымкент,2019,1009085.0
341,г. Алматы,2019,1854656.0
340,г. Астана,2019,1078384.0
339,Восточно-Казахстанская,2019,1378527.0
338,Туркестанская 1,2019,1983969.0
337,Северо-Казахстанская,2019,554517.0
336,Павлодарская,2019,753853.0
335,Мангистауская,2019,678199.0
334,Кызылординская,2019,794335.0
325,Республика Казахстан ,2019,18395567.0
332,Карагандинская,2019,1378532.0
331,Жамбылская,2019,1125440.0
330,Западно-Казахстанская,2019,652325.0
329,Атырауская,2019,633791.0
328,Алматинская,2019,2038935.0
327,Актюбинская,2019,869637.0
326,Акмолинская,2019,738587.0
333,Костанайская,2019,872795.0
354,Павлодарская,2020,752169.0
355,Северо-Казахстанская,2020,548755.0
356,Туркестанская 1,2020,2016037.0
353,Мангистауская,2020,698796.0
358,г. Астана,2020,1136156.0
359,г. Алматы,2020,1916822.0
360,г. Шымкент,2020,1038152.0
357,Восточно-Казахстанская,2020,1369597.0
352,Кызылординская,2020,803531.0
343,Республика Казахстан ,2020,18631779.0
350,Карагандинская,2020,1376882.0
349,Жамбылская,2020,1130099.0
348,Западно-Казахстанская,2020,656844.0
347,Атырауская,2020,645280.0
346,Алматинская,2020,2055724.0
345,Актюбинская,2020,881651.0
344,Акмолинская,2020,736735.0
351,Костанайская,2020,868549.0
372,Павлодарская,2021,751012.0
373,Северо-Казахстанская,2021,543735.0
374,Туркестанская 1,2021,2044742.0
377,г. Алматы,2021,1977258.0
378,г. Шымкент,2021,1074466.0
376,г. Астана,2021,1184411.0
371,Мангистауская,2021,719571.0
375,Восточно-Казахстанская,2021,1363797.0
370,Кызылординская,2021,814588.0
363,Актюбинская,2021,894333.0
368,Карагандинская,2021,1375938.0
367,Жамбылская,2021,1139192.0
366,Западно-Казахстанская,2021,661316.0
365,Атырауская,2021,657110.0
364,Алматинская,2021,2077967.0
362,Акмолинская,2021,735566.0
361,Республика Казахстан ,2021,18879552.0
369,Костанайская,2021,864550.0
391,Мангистауская,2022,745909.0
392,Павлодарская,2022,756511.0
393,Северо-Казахстанская,2022,539111.0
394,Туркестанская 1,2022,2088510.0
398,г. Алматы,2022,2101485.0
396,Восточно-Казахстанская,2022,732966.0
397,г. Астана,2022,1295711.0
399,г. Шымкент,2022,1162308.0
395,Ұлытау,2022,220913.0
389,Костанайская,2022,835686.0
390,Кызылординская,2022,823251.0
387,Жетісу,2022,698757.0
386,Жамбылская,2022,1209665.0
385,Западно-Казахстанская,2022,683327.0
384,Атырауская,2022,681241.0
383,Алматинская,2022,1478496.0
382,Актюбинская,2022,916750.0
381,Акмолинская,2022,785708.0
380,Абай,2022,611888.0
379,Республика Казахстан ,2022,19503159.0
388,Карагандинская,2022,1134966.0
413,Павлодарская,2023,754949.0
414,Северо-Казахстанская,2023,534108.0
415,Туркестанская 1,2023,2119320.0
416,Ұлытау,2023,221426.0
412,Мангистауская,2023,767107.0
418,г. Астана,2023,1354507.0
419,г. Алматы,2023,2161797.0
420,г. Шымкент,2023,1192120.0
417,Восточно-Казахстанская,2023,730236.0
411,Кызылординская,2023,833676.0
402,Акмолинская,2023,788023.0
409,Карагандинская,2023,1134854.0
408,Жетісу,2023,698729.0
407,Жамбылская,2023,1218170.0
406,Западно-Казахстанская,2023,688129.0
405,Атырауская,2023,693085.0
404,Алматинская,2023,1505968.0
403,Актюбинская,2023,928161.0
401,Абай,2023,610205.0
400,Республика Казахстан ,2023,19766807.0
410,Костанайская,2023,832237.0
907,г. Астана,2024,1265413.1739130467
610,Жетісу,2024,698701.0
448,Акмолинская,2024,742170.9130434784
529,Атырауская,2024,688351.8913043477
745,Мангистауская,2024,788557.7463768125
637,Западно-Казахстанская,2024,667948.2826086953
502,Алматинская,2024,1985778.5615942068
853,Туркестанская 1,2024,2301252.510869565
475,Актюбинская,2024,931664.923913043
826,Северо-Казахстанская,2024,508367.14130434766
880,г. Алматы,2024,2075459.2065217346
664,Карагандинская,2024,1304367.4130434785
691,Костанайская,2024,837765.9130434785
718,Кызылординская,2024,849488.7355072461
772,Павлодарская,2024,749941.1050724639
961,Ұлытау,2024,221939.0
421,Абай,2024,608522.0
934,г. Шымкент,2024,1237959.8571428657
799,Республика Казахстан ,2024,19512686.275362372
583,Жамбылская,2024,1185717.076086957
556,Восточно-Казахстанская,2024,1138299.9746376872
773,Павлодарская,2025,749702.2368115943
611,Жетісу,2025,698673.0
935,г. Шымкент,2025,1285285.5357142985
638,Западно-Казахстанская,2025,671307.2452173913
854,Туркестанская 1,2025,2302555.7517391304
962,Ұлытау,2025,222452.0
476,Актюбинская,2025,943994.3578260876
881,г. Алматы,2025,2120522.213043466
422,Абай,2025,606839.0
692,Костанайская,2025,833427.536086956
557,Восточно-Казахстанская,2025,1120525.9459420294
665,Карагандинская,2025,1301484.5560869565
503,Алматинская,2025,2002522.6798550747
746,Мангистауская,2025,809834.2194202915
719,Кызылординская,2025,861153.0176811591
800,Республика Казахстан ,2025,19735674.634058
827,Северо-Казахстанская,2025,500333.88260869496
908,г. Астана,2025,1304484.487826094
584,Жамбылская,2025,1195541.1721739136
449,Акмолинская,2025,741666.4960869566
530,Атырауская,2025,699780.8526086956
720,Кызылординская,2026,872817.299855072
666,Карагандинская,2026,1298601.6991304345
909,г. Астана,2026,1343555.8017391413
936,г. Шымкент,2026,1332611.2142857164
693,Костанайская,2026,829089.1591304336
558,Восточно-Казахстанская,2026,1102751.917246379
828,Северо-Казахстанская,2026,492300.6239130441
612,Жетісу,2026,698645.0
585,Жамбылская,2026,1205365.2682608701
882,г. Алматы,2026,2165585.2195652127
423,Абай,2026,605156.0
504,Алматинская,2026,2019266.7981159426
477,Актюбинская,2026,956323.7917391323
639,Западно-Казахстанская,2026,674666.2078260863
774,Павлодарская,2026,749463.3685507248
747,Мангистауская,2026,831110.6924637705
450,Акмолинская,2026,741162.0791304349
963,Ұлытау,2026,222965.0
801,Республика Казахстан ,2026,19958662.992753625
531,Атырауская,2026,711209.8139130436
855,Туркестанская 1,2026,2303858.9926086958
586,Жамбылская,2027,1215189.3643478267
910,г. Астана,2027,1382627.1156521738
532,Атырауская,2027,722638.7752173916
883,г. Алматы,2027,2210648.2260869443
505,Алматинская,2027,2036010.9163768105
613,Жетісу,2027,698617.0
667,Карагандинская,2027,1295718.8421739135
640,Западно-Казахстанская,2027,678025.1704347823
937,г. Шымкент,2027,1379936.8928571492
694,Костанайская,2027,824750.782173913
559,Восточно-Казахстанская,2027,1084977.8885507286
856,Туркестанская 1,2027,2305162.2334782607
748,Мангистауская,2027,852387.1655072495
451,Акмолинская,2027,740657.6621739131
829,Северо-Казахстанская,2027,484267.3652173914
964,Ұлытау,2027,223478.0
721,Кызылординская,2027,884481.582028985
775,Павлодарская,2027,749224.5002898552
478,Актюбинская,2027,968653.2256521769
802,Республика Казахстан ,2027,20181651.35144931
424,Абай,2027,603473.0
776,Павлодарская,2028,748985.6320289855
803,Республика Казахстан ,2028,20404639.710144937
425,Абай,2028,601790.0
830,Северо-Казахстанская,2028,476234.1065217387
533,Атырауская,2028,734067.7365217395
749,Мангистауская,2028,873663.6385507286
911,г. Астана,2028,1421698.429565221
452,Акмолинская,2028,740153.2452173914
560,Восточно-Казахстанская,2028,1067203.8598550782
587,Жамбылская,2028,1225013.4604347833
614,Жетісу,2028,698589.0
668,Карагандинская,2028,1292835.9852173915
506,Алматинская,2028,2052755.0346376859
695,Костанайская,2028,820412.4052173905
857,Туркестанская 1,2028,2306465.474347826
479,Актюбинская,2028,980982.6595652178
884,г. Алматы,2028,2255711.232608691
965,Ұлытау,2028,223991.0
641,Западно-Казахстанская,2028,681384.1330434782
938,г. Шымкент,2028,1427262.571428582
722,Кызылординская,2028,896145.864202898
939,г. Шымкент,2029,1474588.25
804,Республика Казахстан ,2029,20627628.068840623
