,Область,Год,Население
561,Восточно-Казахстанская,2029,1049429.8311594278
912,г. Астана,2029,1460769.7434782684
858,Туркестанская 1,2029,2307768.715217391
426,Абай,2029,600107.0
696,Костанайская,2029,816074.0282608699
777,Павлодарская,2029,748746.763768116
588,Жамбылская,2029,1234837.5565217398
615,Жетісу,2029,698561.0
507,Алматинская,2029,2069499.1528985538
480,Актюбинская,2029,993312.0934782624
642,Западно-Казахстанская,2029,684743.0956521733
669,Карагандинская,2029,1289953.1282608695
966,Ұлытау,2029,224504.0
453,Акмолинская,2029,739648.8282608696
831,Северо-Казахстанская,2029,468200.84782608785
750,Мангистауская,2029,894940.1115942076
885,г. Алматы,2029,2300774.2391304225
723,Кызылординская,2029,907810.146376811
534,Атырауская,2029,745496.6978260875
778,Павлодарская,2030,748507.8955072465
697,Костанайская,2030,811735.6513043474
643,Западно-Казахстанская,2030,688102.0582608692
832,Северо-Казахстанская,2030,460167.58913043514
886,г. Алматы,2030,2345837.245652169
724,Кызылординская,2030,919474.4285507239
913,г. Астана,2030,1499841.0573913157
562,Восточно-Казахстанская,2030,1031655.8024637699
589,Жамбылская,2030,1244661.6526086964
859,Туркестанская 1,2030,2309071.9560869564
670,Карагандинская,2030,1287070.2713043476
616,Жетісу,2030,698533.0
751,Мангистауская,2030,916216.5846376866
805,Республика Казахстан ,2030,20850616.42753625
427,Абай,2030,598424.0
454,Акмолинская,2030,739144.4113043479
508,Алматинская,2030,2086243.2711594217
940,г. Шымкент,2030,1521913.9285714328
967,Ұлытау,2030,225017.0
535,Атырауская,2030,756925.6591304354
481,Актюбинская,2030,1005641.527391307
617,Жетісу,2031,698505.0
509,Алматинская,2031,2102987.3894202895
482,Актюбинская,2031,1017970.961304348
752,Мангистауская,2031,937493.0576811656
671,Карагандинская,2031,1284187.4143478265
860,Туркестанская 1,2031,2310375.196956522
590,Жамбылская,2031,1254485.748695653
725,Кызылординская,2031,931138.7107246369
455,Акмолинская,2031,738639.9943478262
779,Павлодарская,2031,748269.027246377
644,Западно-Казахстанская,2031,691461.0208695652
914,г. Астана,2031,1538912.371304348
968,Ұлытау,2031,225530.0
698,Костанайская,2031,807397.274347825
806,Республика Казахстан ,2031,21073604.786231935
536,Атырауская,2031,768354.6204347834
428,Абай,2031,596741.0
833,Северо-Казахстанская,2031,452134.33043478243
941,г. Шымкент,2031,1569239.6071428657
563,Восточно-Казахстанская,2031,1013881.7737681195
887,г. Алматы,2031,2390900.2521739006
888,г. Алматы,2032,2435963.258695647
969,Ұлытау,2032,226043.0
753,Мангистауская,2032,958769.5307246447
672,Карагандинская,2032,1281304.5573913045
780,Павлодарская,2032,748030.1589855073
942,г. Шымкент,2032,1616565.2857142985
537,Атырауская,2032,779783.5817391314
861,Туркестанская 1,2032,2311678.4378260868
591,Жамбылская,2032,1264309.8447826095
618,Жетісу,2032,698477.0
510,Алматинская,2032,2119731.5076811574
483,Актюбинская,2032,1030300.3952173926
807,Республика Казахстан ,2032,21296593.14492756
915,г. Астана,2032,1577983.6852173954
645,Западно-Казахстанская,2032,694819.9834782602
564,Восточно-Казахстанская,2032,996107.7450724691
726,Кызылординская,2032,942802.9928985499
456,Акмолинская,2032,738135.5773913044
834,Северо-Казахстанская,2032,444101.0717391297
429,Абай,2032,595058.0
699,Костанайская,2032,803058.8973913044
619,Жетісу,2033,698449.0
673,Карагандинская,2033,1278421.7004347825
754,Мангистауская,2033,980046.0037681237
646,Западно-Казахстанская,2033,698178.9460869562
511,Алматинская,2033,2136475.625942033
727,Кызылординская,2033,954467.2750724629
457,Акмолинская,2033,737631.1604347827
889,г. Алматы,2033,2481026.2652173787
835,Северо-Казахстанская,2033,436067.8130434789
430,Абай,2033,593375.0
862,Туркестанская 1,2033,2312981.678695652
484,Актюбинская,2033,1042629.8291304372
808,Республика Казахстан ,2033,21519581.503623188
781,Павлодарская,2033,747791.2907246378
565,Восточно-Казахстанская,2033,978333.7163768187
916,г. Астана,2033,1617054.9991304427
970,Ұлытау,2033,226556.0
700,Костанайская,2033,798720.5204347819
943,г. Шымкент,2033,1663890.9642857164
538,Атырауская,2033,791212.5430434793
592,Жамбылская,2033,1274133.940869566
917,г. Астана,2034,1656126.31304349
728,Кызылординская,2034,966131.5572463758
647,Западно-Казахстанская,2034,701537.9086956521
809,Республика Казахстан ,2034,21742569.862318873
485,Актюбинская,2034,1054959.2630434781
458,Акмолинская,2034,737126.7434782609
512,Алматинская,2034,2153219.7442029007
944,г. Шымкент,2034,1711216.6428571492
593,Жамбылская,2034,1283958.0369565226
431,Абай,2034,591692.0
863,Туркестанская 1,2034,2314284.919565217
782,Павлодарская,2034,747552.4224637682
701,Костанайская,2034,794382.1434782613
890,г. Алматы,2034,2526089.2717391253
566,Восточно-Казахстанская,2034,960559.6876811609
539,Атырауская,2034,802641.5043478273
755,Мангистауская,2034,1001322.4768115953
836,Северо-Казахстанская,2034,428034.55434782617
620,Жетісу,2034,698421.0
674,Карагандинская,2034,1275538.8434782606
971,Ұлытау,2034,227069.0
486,Актюбинская,2035,1067288.6969565228
729,Кызылординская,2035,977795.8394202888
459,Акмолинская,2035,736622.3265217392
864,Туркестанская 1,2035,2315588.1604347825
837,Северо-Казахстанская,2035,420001.29565217346
675,Карагандинская,2035,1272655.9865217395
702,Костанайская,2035,790043.7665217388
945,г. Шымкент,2035,1758542.321428582
567,Восточно-Казахстанская,2035,942785.6589855105
432,Абай,2035,590009.0
918,г. Астана,2035,1695197.6269565225
810,Республика Казахстан ,2035,21965558.2210145
648,Западно-Казахстанская,2035,704896.8713043472
513,Алматинская,2035,2169963.8624637686
594,Жамбылская,2035,1293782.1330434792
972,Ұлытау,2035,227582.0
891,г. Алматы,2035,2571152.278260857
540,Атырауская,2035,814070.4656521715
783,Павлодарская,2035,747313.5542028986
621,Жетісу,2035,698393.0
756,Мангистауская,2035,1022598.9498550743
595,Жамбылская,2036,1303606.2291304357
541,Атырауская,2036,825499.4269565195
487,Актюбинская,2036,1079618.1308695674
919,г. Астана,2036,1734268.9408695698
784,Павлодарская,2036,747074.6859420291
811,Республика Казахстан ,2036,22188546.579710186
568,Восточно-Казахстанская,2036,925011.6302898601
703,Костанайская,2036,785705.3895652164
433,Абай,2036,588326.0
865,Туркестанская 1,2036,2316891.401304348
946,г. Шымкент,2036,1805868.0
649,Западно-Казахстанская,2036,708255.8339130431
838,Северо-Казахстанская,2036,411968.0369565226
730,Кызылординская,2036,989460.1215942018
514,Алматинская,2036,2186707.9807246365
973,Ұлытау,2036,228095.0
892,г. Алматы,2036,2616215.2847826034
757,Мангистауская,2036,1043875.4228985533
676,Карагандинская,2036,1269773.1295652175
460,Акмолинская,2036,736117.9095652174
622,Жетісу,2036,698365.0
704,Костанайская,2037,781367.0126086958
434,Абай,2037,586643.0
785,Павлодарская,2037,746835.8176811596
812,Республика Казахстан ,2037,22411534.93840581
731,Кызылординская,2037,1001124.4037681147
839,Северо-Казахстанская,2037,403934.7782608699
461,Акмолинская,2037,735613.4926086958
758,Мангистауская,2037,1065151.8959420323
974,Ұлытау,2037,228608.0
920,г. Астана,2037,1773340.254782617
569,Восточно-Казахстанская,2037,907237.6015942097
947,г. Шымкент,2037,1853193.6785714328
650,Западно-Казахстанская,2037,711614.7965217391
866,Туркестанская 1,2037,2318194.642173913
677,Карагандинская,2037,1266890.2726086956
542,Атырауская,2037,836928.3882608674
596,Жамбылская,2037,1313430.3252173923
515,Алматинская,2037,2203452.098985512
488,Актюбинская,2037,1091947.5647826083
623,Жетісу,2037,698337.0
893,г. Алматы,2037,2661278.291304335
489,Актюбинская,2038,1104276.998695653
840,Северо-Казахстанская,2038,395901.5195652172
651,Западно-Казахстанская,2038,714973.7591304341
516,Алматинская,2038,2220196.2172463797
975,Ұлытау,2038,229121.0
732,Кызылординская,2038,1012788.6859420277
435,Абай,2038,584960.0
597,Жамбылская,2038,1323254.4213043489
543,Атырауская,2038,848357.3495652154
786,Павлодарская,2038,746596.94942029
813,Республика Казахстан ,2038,22634523.297101498
570,Восточно-Казахстанская,2038,889463.5728985518
921,г. Астана,2038,1812411.5686956644
759,Мангистауская,2038,1086428.3689855114
867,Туркестанская 1,2038,2319497.8830434782
624,Жетісу,2038,698309.0
894,г. Алматы,2038,2706341.2978260815
705,Костанайская,2038,777028.6356521733
462,Акмолинская,2038,735109.075652174
678,Карагандинская,2038,1264007.4156521736
948,г. Шымкент,2038,1900519.3571428657
895,г. Алматы,2039,2751404.304347813
841,Северо-Казахстанская,2039,387868.2608695645
760,Мангистауская,2039,1107704.8420289904
976,Ұлытау,2039,229634.0
436,Абай,2039,583277.0
598,Жамбылская,2039,1333078.5173913054
679,Карагандинская,2039,1261124.5586956525
544,Атырауская,2039,859786.3108695634
490,Актюбинская,2039,1116606.4326086976
787,Павлодарская,2039,746358.0811594203
814,Республика Казахстан ,2039,22857511.655797124
922,г. Астана,2039,1851482.8826086968
571,Восточно-Казахстанская,2039,871689.5442029014
706,Костанайская,2039,772690.2586956508
463,Акмолинская,2039,734604.6586956523
625,Жетісу,2039,698281.0
949,г. Шымкент,2039,1947845.0357142985
868,Туркестанская 1,2039,2320801.1239130436
733,Кызылординская,2039,1024452.9681159407
517,Алматинская,2039,2236940.3355072476
652,Западно-Казахстанская,2039,718332.7217391301
599,Жамбылская,2040,1342902.613478262
788,Павлодарская,2040,746119.2128985508
626,Жетісу,2040,698253.0
545,Атырауская,2040,871215.2721739113
437,Абай,2040,581594.0
923,г. Астана,2040,1890554.1965217441
815,Республика Казахстан ,2040,23080500.01449281
680,Карагандинская,2040,1258241.7017391305
572,Восточно-Казахстанская,2040,853915.515507251
653,Западно-Казахстанская,2040,721691.684347826
842,Северо-Казахстанская,2040,379835.00217391364
518,Алматинская,2040,2253684.4537681155
464,Акмолинская,2040,734100.2417391306
950,г. Шымкент,2040,1995170.7142857164
491,Актюбинская,2040,1128935.8665217385
977,Ұлытау,2040,230147.0
869,Туркестанская 1,2040,2322104.3647826086
761,Мангистауская,2040,1128981.3150724694
734,Кызылординская,2040,1036117.2502898537
896,г. Алматы,2040,2796467.3108695596
707,Костанайская,2040,768351.8817391302
924,г. Астана,2041,1929625.5104347914
708,Костанайская,2041,764013.5047826078
951,г. Шымкент,2041,2042496.3928571492
735,Кызылординская,2041,1047781.5324637666
789,Павлодарская,2041,745880.3446376813
573,Восточно-Казахстанская,2041,836141.4868116006
546,Атырауская,2041,882644.2334782593
627,Жетісу,2041,698225.0
681,Карагандинская,2041,1255358.8447826086
519,Алматинская,2041,2270428.5720289834
465,Акмолинская,2041,733595.8247826088
492,Актюбинская,2041,1141265.300434783
762,Мангистауская,2041,1150257.7881159484
978,Ұлытау,2041,230660.0
816,Республика Казахстан ,2041,23303488.373188436
438,Абай,2041,579911.0
870,Туркестанская 1,2041,2323407.605652174
654,Западно-Казахстанская,2041,725050.6469565211
843,Северо-Казахстанская,2041,371801.74347826093
897,г. Алматы,2041,2841530.3173912913
600,Жамбылская,2041,1352726.7095652185
817,Республика Казахстан ,2042,23526476.731884062
898,г. Алматы,2042,2886593.323913038
952,г. Шымкент,2042,2089822.071428582
844,Северо-Казахстанская,2042,363768.4847826082
871,Туркестанская 1,2042,2324710.846521739
925,г. Астана,2042,1968696.8243478388
979,Ұлытау,2042,231173.0
493,Актюбинская,2042,1153594.7343478277
466,Акмолинская,2042,733091.4078260871
439,Абай,2042,578228.0
682,Карагандинская,2042,1252475.9878260866
601,Жамбылская,2042,1362550.805652175
763,Мангистауская,2042,1171534.2611594275
574,Восточно-Казахстанская,2042,818367.4581159428
547,Атырауская,2042,894073.1947826073
709,Костанайская,2042,759675.1278260872
736,Кызылординская,2042,1059445.8146376796
655,Западно-Казахстанская,2042,728409.609565217
790,Павлодарская,2042,745641.4763768117
628,Жетісу,2042,698197.0
520,Алматинская,2042,2287172.6902898587
575,Восточно-Казахстанская,2043,800593.4294202924
629,Жетісу,2043,698169.0
440,Абай,2043,576545.0
683,Карагандинская,2043,1249593.1308695655
980,Ұлытау,2043,231686.0
710,Костанайская,2043,755336.7508695647
764,Мангистауская,2043,1192810.7342029065
602,Жамбылская,2043,1372374.9017391317
656,Западно-Казахстанская,2043,731768.572173913
872,Туркестанская 1,2043,2326014.0873913043
548,Атырауская,2043,905502.1560869552
926,г. Астана,2043,2007768.1382608712
791,Павлодарская,2043,745402.6081159422
737,Кызылординская,2043,1071110.0968115926
494,Актюбинская,2043,1165924.1682608724
845,Северо-Казахстанская,2043,355735.2260869574
899,г. Алматы,2043,2931656.3304347694
467,Акмолинская,2043,732586.9908695653
818,Республика Казахстан ,2043,23749465.09057975
521,Алматинская,2043,2303916.8085507266
953,г. Шымкент,2043,2137147.75
603,Жамбылская,2044,1382198.9978260882
684,Карагандинская,2044,1246710.2739130436
711,Костанайская,2044,750998.3739130422
873,Туркестанская 1,2044,2327317.3282608697
900,г. Алматы,2044,2976719.336956516
657,Западно-Казахстанская,2044,735127.534782608
468,Акмолинская,2044,732082.5739130436
576,Восточно-Казахстанская,2044,782819.400724642
441,Абай,2044,574862.0
549,Атырауская,2044,916931.1173913032
522,Алматинская,2044,2320660.9268115945
765,Мангистауская,2044,1214087.207246378
981,Ұлытау,2044,232199.0
819,Республика Казахстан ,2044,23972453.449275374
792,Павлодарская,2044,745163.7398550726
738,Кызылординская,2044,1082774.3789855056
927,г. Астана,2044,2046839.4521739185
954,г. Шымкент,2044,2184473.428571433
630,Жетісу,2044,698141.0
495,Актюбинская,2044,1178253.6021739133
846,Северо-Казахстанская,2044,347701.9673913047
793,Павлодарская,2045,744924.8715942029
982,Ұлытау,2045,232712.0
523,Алматинская,2045,2337405.0450724624
658,Западно-Казахстанская,2045,738486.497391304
469,Акмолинская,2045,731578.1569565218
604,Жамбылская,2045,1392023.0939130448
820,Республика Казахстан ,2045,24195441.80797106
496,Актюбинская,2045,1190583.036086958
874,Туркестанская 1,2045,2328620.5691304347
550,Атырауская,2045,928360.0786956511
631,Жетісу,2045,698113.0
766,Мангистауская,2045,1235363.680289857
442,Абай,2045,573179.0
955,г. Шымкент,2045,2231799.1071428657
712,Костанайская,2045,746659.9969565216
928,г. Астана,2045,2085910.7660869658
685,Карагандинская,2045,1243827.4169565216
901,г. Алматы,2045,3021782.3434782475
577,Восточно-Казахстанская,2045,765045.3720289916
739,Кызылординская,2045,1094438.6611594185
847,Северо-Казахстанская,2045,339668.70869565196
551,Атырауская,2046,939789.0399999991
956,г. Шымкент,2046,2279124.7857142985
578,Восточно-Казахстанская,2046,747271.3433333337
929,г. Астана,2046,2124982.080000013
524,Алматинская,2046,2354149.1633333378
470,Акмолинская,2046,731073.7400000001
902,г. Алматы,2046,3066845.349999994
605,Жамбылская,2046,1401847.1900000013
713,Костанайская,2046,742321.6199999992
794,Павлодарская,2046,744686.0033333334
821,Республика Казахстан ,2046,24418430.166666687
983,Ұлытау,2046,233225.0
767,Мангистауская,2046,1256640.153333336
740,Кызылординская,2046,1106102.9433333315
848,Северо-Казахстанская,2046,331635.44999999925
632,Жетісу,2046,698085.0
443,Абай,2046,571496.0
686,Карагандинская,2046,1240944.5599999996
497,Актюбинская,2046,1202912.4700000025
659,Западно-Казахстанская,2046,741845.46
875,Туркестанская 1,2046,2329923.81
660,Западно-Казахстанская,2047,745204.422608695
849,Северо-Казахстанская,2047,323602.1913043484
714,Костанайская,2047,737983.2430434786
606,Жамбылская,2047,1411671.286086958
741,Кызылординская,2047,1117767.2255072445
552,Атырауская,2047,951218.0013043471
930,г. Астана,2047,2164053.3939130455
471,Акмолинская,2047,730569.3230434783
822,Республика Казахстан ,2047,24641418.525362372
525,Алматинская,2047,2370893.2815942056
498,Актюбинская,2047,1215241.9039130434
984,Ұлытау,2047,233738.0
795,Павлодарская,2047,744447.1350724639
768,Мангистауская,2047,1277916.6263768151
957,г. Шымкент,2047,2326450.4642857164
633,Жетісу,2047,698057.0
444,Абай,2047,569813.0
903,г. Алматы,2047,3111908.3565217257
687,Карагандинская,2047,1238061.7030434785
579,Восточно-Казахстанская,2047,729497.3146376833
876,Туркестанская 1,2047,2331227.050869565
877,Туркестанская 1,2048,2332530.2917391304
499,Актюбинская,2048,1227571.337826088
796,Павлодарская,2048,744208.2668115944
634,Жетісу,2048,698029.0
985,Ұлытау,2048,234251.0
904,г. Алматы,2048,3156971.363043472
769,Мангистауская,2048,1299193.0994202942
526,Алматинская,2048,2387637.3998550735
661,Западно-Казахстанская,2048,748563.385217391
823,Республика Казахстан ,2048,24864406.884058
445,Абай,2048,568130.0
607,Жамбылская,2048,1421495.3821739145
742,Кызылординская,2048,1129431.5076811574
931,г. Астана,2048,2203124.707826093
958,г. Шымкент,2048,2373776.1428571492
580,Восточно-Казахстанская,2048,711723.2859420329
715,Костанайская,2048,733644.8660869561
688,Карагандинская,2048,1235178.8460869566
850,Северо-Казахстанская,2048,315568.9326086957
553,Атырауская,2048,962646.962608695
472,Акмолинская,2048,730064.9060869566
986,Ұлытау,2049,234764.0
473,Акмолинская,2049,729560.4891304349
959,г. Шымкент,2049,2421101.821428582
446,Абай,2049,566447.0
797,Павлодарская,2049,743969.3985507247
689,Карагандинская,2049,1232295.9891304346
608,Жамбылская,2049,1431319.478260871
716,Костанайская,2049,729306.4891304336
905,г. Алматы,2049,3202034.3695652187
662,Западно-Казахстанская,2049,751922.3478260869
743,Кызылординская,2049,1141095.7898550704
500,Актюбинская,2049,1239900.7717391327
851,Северо-Казахстанская,2049,307535.673913043
878,Туркестанская 1,2049,2333833.532608696
824,Республика Казахстан ,2049,25087395.242753625
554,Атырауская,2049,974075.923913043
932,г. Астана,2049,2242196.02173914
770,Мангистауская,2049,1320469.5724637732
527,Алматинская,2049,2404381.5181159414
581,Восточно-Казахстанская,2049,693949.2572463825
635,Жетісу,2049,698001.0
690,Карагандинская,2050,1229413.1321739135
501,Актюбинская,2050,1252230.2056521736
744,Кызылординская,2050,1152760.0720289834
825,Республика Казахстан ,2050,25310383.60144931
771,Мангистауская,2050,1341746.0455072522
852,Северо-Казахстанская,2050,299502.41521739215
717,Костанайская,2050,724968.112173913
879,Туркестанская 1,2050,2335136.7734782607
447,Абай,2050,564764.0
636,Жетісу,2050,697973.0
609,Жамбылская,2050,1441143.5743478276
798,Павлодарская,2050,743730.5302898552
474,Акмолинская,2050,729056.0721739131
906,г. Алматы,2050,3247097.3760869503
960,г. Шымкент,2050,2468427.5
582,Восточно-Казахстанская,2050,676175.2285507321
555,Атырауская,2050,985504.885217391
933,г. Астана,2050,2281267.3356521726
528,Алматинская,2050,2421125.6363768093
663,Западно-Казахстанская,2050,755281.310434782
987,Ұлытау,2050,235277.0
